format,filename,bitrate,major_brand,minor_version,compatible_brands,encoder
format,videos/BigBuckBunny240-crfVbv-23_7500K.mp4,2918101,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny240-crfVbv-23_750K.mp4,746213,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny240-crfVbv-29_1500K.mp4,1281728,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny240-crfVbv-29_3000K.mp4,1437257,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny240-crfVbv-29_7500K.mp4,1447436,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny240-crfVbv-29_750K.mp4,743292,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny240-crfVbv-35_1500K.mp4,758603,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny240-crfVbv-35_3000K.mp4,765326,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny240-crfVbv-35_7500K.mp4,765327,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny240-crfVbv-35_750K.mp4,657665,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny240-qp-17.mp4,7411902,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny240-qp-23.mp4,3411119,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny240-qp-29.mp4,1635577,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny240-qp-35.mp4,846668,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel10-2pass-1500K.mp4,1471440,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel10-2pass-3000K.mp4,2920036,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel10-2pass-7500K.mp4,7328373,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel10-2pass-750K.mp4,748649,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel10-2passVbv-1500K.mp4,1499730,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel10-2passVbv-3000K.mp4,2993113,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel10-2passVbv-7500K.mp4,7457137,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel10-2passVbv-750K.mp4,758022,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel10-abr-1500K.mp4,1307654,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel10-abr-3000K.mp4,2690495,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel10-abr-7500K.mp4,6975146,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel10-abr-750K.mp4,651005,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel10-abrVbv-1500K.mp4,1224309,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel10-abrVbv-3000K.mp4,2504217,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel10-abrVbv-7500K.mp4,6755104,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel10-abrVbv-750K.mp4,622226,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel10-crf-17.mp4,8849219,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel10-crf-23.mp4,2822988,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel10-crf-29.mp4,1289726,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel10-crf-35.mp4,652114,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel10-crfVbv-17_1500K.mp4,1472315,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel10-crfVbv-17_3000K.mp4,3035122,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel10-crfVbv-17_7500K.mp4,6735603,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel10-crfVbv-17_750K.mp4,733422,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel10-crfVbv-23_1500K.mp4,1461593,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel10-crfVbv-23_3000K.mp4,2205803,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel10-crfVbv-23_7500K.mp4,2823007,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel10-crfVbv-23_750K.mp4,733426,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel10-crfVbv-29_1500K.mp4,1043477,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel10-crfVbv-29_3000K.mp4,1289983,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel10-crfVbv-29_7500K.mp4,1289984,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel10-crfVbv-29_750K.mp4,728036,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel10-crfVbv-35_1500K.mp4,652132,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel10-crfVbv-35_3000K.mp4,652132,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel10-crfVbv-35_7500K.mp4,652132,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel10-crfVbv-35_750K.mp4,533090,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel10-qp-17.mp4,12071974,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel10-qp-23.mp4,3928343,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel10-qp-29.mp4,1730128,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel10-qp-35.mp4,866434,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel120-2pass-1500K.mp4,1499241,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel120-2pass-3000K.mp4,2997038,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel120-2pass-7500K.mp4,7526720,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel120-2pass-750K.mp4,762077,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel120-2passVbv-1500K.mp4,1510819,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel120-2passVbv-3000K.mp4,3014860,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel120-2passVbv-7500K.mp4,7468468,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel120-2passVbv-750K.mp4,756816,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel120-abr-1500K.mp4,1409516,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel120-abr-3000K.mp4,2921748,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel120-abr-7500K.mp4,7551097,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel120-abr-750K.mp4,689409,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel120-abrVbv-1500K.mp4,1304922,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel120-abrVbv-3000K.mp4,2768120,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel120-abrVbv-7500K.mp4,7340398,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel120-abrVbv-750K.mp4,642142,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel120-crf-17.mp4,5897614,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel120-crf-23.mp4,1854388,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel120-crf-29.mp4,879268,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel120-crf-35.mp4,474905,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel120-crfVbv-17_1500K.mp4,1460514,isom,512,isomiso2avc1mp41,Lavf57.66.103
